Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Region,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
48,55,Male,Jewelry,Accessories,89,Montana,West,M,Charcoal,Winter,4.6,Yes,Debit Card,Free Shipping,Yes,Yes,11,Cash,Weekly
49,42,Male,Shirt,Clothing,24,Nevada,West,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,11,Cash,Monthly
50,68,Male,Hoodie,Clothing,49,New Jersey,Northeast,S,Indigo,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,6,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,64,Maryland,Northeast,M,Red,Spring,3.9,Yes,Cash,Store Pickup,Yes,Yes,6,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,99,Vermont,Northeast,XL,Gray,Winter,5,Yes,PayPal,2-Day Shipping,Yes,Yes,12,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,26,Alaska,West,M,Green,Summer,2.7,Yes,Credit Card,Free Shipping,Yes,Yes,4,Credit Card,Weekly
54,29,Male,Skirt,Clothing,30,Mississippi,South,S,Peach,Winter,2.8,Yes,Debit Card,Next Day Air,Yes,Yes,5,Credit Card,Weekly
55,47,Male,Coat,Outerwear,68,New Mexico,West,M,Brown,Summer,4,Yes,Bank Transfer,Next Day Air,Yes,Yes,19,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,62,South Carolina,South,M,Lavender,Winter,3.8,Yes,Venmo,2-Day Shipping,Yes,Yes,6,Credit Card,Annually
57,41,Male,Backpack,Accessories,70,Mississippi,South,XL,Brown,Summer,4,Yes,PayPal,Store Pickup,Yes,Yes,15,Credit Card,Weekly
58,21,Male,Coat,Outerwear,94,West Virginia,South,M,White,Summer,4.8,Yes,PayPal,Store Pickup,Yes,Yes,13,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,100,Missouri,Midwest,M,Charcoal,Summer,5,Yes,Credit Card,Free Shipping,Yes,Yes,11,Venmo,Monthly
60,63,Male,Belt,Accessories,63,Louisiana,South,L,Yellow,Spring,3.9,Yes,Debit Card,Standard,Yes,Yes,16,Debit Card,Weekly
61,50,Male,Sweater,Clothing,67,Idaho,West,L,Brown,Summer,4,Yes,Credit Card,Express,Yes,Yes,7,Cash,Weekly
62,55,Male,Scarf,Accessories,64,Texas,South,M,Orange,Winter,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,14,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,50,Mississippi,South,S,Magenta,Spring,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,4,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,23,Arizona,West,L,Lavender,Winter,2.6,Yes,Credit Card,2-Day Shipping,Yes,Yes,16,Credit Card,Weekly
65,65,Male,Boots,Footwear,28,Alabama,South,S,Green,Fall,2.8,Yes,PayPal,Standard,Yes,Yes,17,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,64,New Jersey,Northeast,M,Purple,Spring,3.9,Yes,Credit Card,2-Day Shipping,Yes,Yes,7,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,96,Pennsylvania,Northeast,S,Magenta,Winter,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,19,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,56,Connecticut,Northeast,L,Gray,Winter,3.7,Yes,PayPal,Store Pickup,Yes,Yes,7,Debit Card,Monthly
69,57,Male,Handbag,Accessories,32,Utah,West,L,Silver,Summer,2.9,Yes,Credit Card,Next Day Air,Yes,Yes,9,Cash,Every 3 Months
70,48,Male,Belt,Accessories,65,Tennessee,South,S,Cyan,Summer,3.9,Yes,Credit Card,Express,Yes,Yes,14,Cash,Weekly
71,22,Male,Belt,Accessories,80,Alabama,South,M,Magenta,Fall,4.4,Yes,Credit Card,Express,Yes,Yes,6,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,41,Virginia,South,L,Gold,Summer,3.2,Yes,Debit Card,Express,Yes,Yes,10,Bank Transfer,Annually
73,18,Male,Dress,Clothing,80,Georgia,South,M,Olive,Winter,4.4,Yes,Debit Card,Store Pickup,Yes,Yes,5,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,24,Hawaii,West,M,Teal,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,Yes,17,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,55,Indiana,Midwest,L,Violet,Spring,3.6,Yes,PayPal,Express,Yes,Yes,12,Cash,Monthly
76,64,Male,Scarf,Accessories,35,Utah,West,M,Blue,Summer,3,Yes,Debit Card,Free Shipping,Yes,Yes,17,Credit Card,Annually
77,50,Male,Hat,Accessories,36,Delaware,Northeast,S,Teal,Summer,3,Yes,Bank Transfer,Free Shipping,Yes,Yes,9,Venmo,Monthly
78,22,Male,Dress,Clothing,80,Delaware,Northeast,L,Gold,Summer,4.3,Yes,Debit Card,Next Day Air,Yes,Yes,11,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,48,Nebraska,Midwest,M,Maroon,Spring,3.4,Yes,Venmo,Free Shipping,Yes,Yes,18,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,41,Iowa,Midwest,M,Olive,Winter,3.2,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,19,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,33,New York,Northeast,XL,Blue,Summer,2.9,Yes,Credit Card,Store Pickup,Yes,Yes,14,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,45,Virginia,South,L,Maroon,Summer,3.3,Yes,PayPal,Express,Yes,Yes,19,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,74,Georgia,South,S,Olive,Spring,4.2,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,6,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,35,Texas,South,M,Turquoise,Summer,3,Yes,Debit Card,Standard,Yes,Yes,8,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,94,Arizona,West,S,Peach,Spring,4.8,Yes,Cash,Standard,Yes,Yes,6,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,36,New Mexico,West,M,Charcoal,Winter,3,Yes,Credit Card,Next Day Air,Yes,Yes,19,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,88,Nevada,West,L,Pink,Spring,4.6,Yes,Venmo,2-Day Shipping,Yes,Yes,8,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,51,Ohio,Midwest,M,Green,Fall,3.5,Yes,Debit Card,2-Day Shipping,Yes,Yes,11,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,59,Wyoming,West,M,Orange,Fall,3.7,Yes,Credit Card,Free Shipping,Yes,Yes,9,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,63,California,West,XL,Pink,Fall,3.8,Yes,Bank Transfer,Next Day Air,Yes,Yes,17,Cash,Quarterly
91,25,Male,Hat,Accessories,62,South Carolina,South,L,Violet,Summer,3.8,Yes,Venmo,Express,Yes,Yes,10,Credit Card,Monthly
92,44,Male,Scarf,Accessories,82,South Carolina,South,S,Green,Winter,4.4,Yes,PayPal,Standard,Yes,Yes,20,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,67,Texas,South,M,Olive,Winter,4,Yes,Cash,2-Day Shipping,Yes,Yes,17,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,51,Florida,South,M,Purple,Fall,3.5,Yes,PayPal,Standard,Yes,Yes,12,Credit Card,Weekly
95,58,Male,Skirt,Clothing,79,Nevada,West,S,Silver,Spring,4.3,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,25,Missouri,Midwest,L,Pink,Fall,2.7,Yes,PayPal,Free Shipping,Yes,Yes,20,PayPal,Monthly
97,32,Male,Gloves,Accessories,85,Delaware,Northeast,S,Gold,Spring,4.5,Yes,Venmo,Express,Yes,Yes,15,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,23,Virginia,South,M,Teal,Winter,2.6,Yes,PayPal,Store Pickup,Yes,Yes,18,Cash,Annually
99,20,Male,Jeans,Clothing,55,New York,Northeast,XL,Teal,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,31,Missouri,Midwest,XL,Indigo,Summer,2.9,Yes,Cash,Express,Yes,Yes,8,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,99,South Dakota,Midwest,M,Maroon,Fall,5,Yes,PayPal,Express,Yes,Yes,20,Cash,Fortnightly
102,27,Male,Coat,Outerwear,59,North Dakota,Midwest,XL,White,Spring,3.7,Yes,Venmo,Express,Yes,Yes,17,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,68,Oklahoma,South,L,Violet,Winter,4,Yes,Credit Card,Next Day Air,Yes,Yes,13,Credit Card,Quarterly
104,54,Male,Boots,Footwear,46,West Virginia,South,L,Red,Winter,3.4,Yes,Debit Card,Next Day Air,Yes,Yes,18,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,47,New Hampshire,Northeast,L,Pink,Spring,3.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,5,PayPal,Monthly
106,69,Male,Backpack,Accessories,27,New York,Northeast,M,Charcoal,Fall,2.7,Yes,Bank Transfer,Next Day Air,Yes,Yes,19,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,87,Minnesota,Midwest,L,White,Summer,4.6,Yes,Cash,Standard,Yes,Yes,7,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,73,Maryland,Northeast,L,Olive,Winter,4.1,Yes,Cash,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
109,70,Male,Socks,Clothing,92,Montana,West,L,Purple,Spring,4.7,Yes,Bank Transfer,Next Day Air,Yes,Yes,16,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,89,Alabama,South,M,Violet,Spring,4.6,Yes,Cash,Next Day Air,Yes,Yes,17,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,36,New York,Northeast,M,Black,Summer,3.1,Yes,Bank Transfer,Standard,Yes,Yes,5,Venmo,Fortnightly
112,26,Male,Belt,Accessories,99,Massachusetts,Northeast,L,Purple,Summer,4.9,Yes,PayPal,Free Shipping,Yes,Yes,15,Credit Card,Annually
113,37,Male,Gloves,Accessories,63,Florida,South,M,Red,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,13,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,75,New Jersey,Northeast,L,Maroon,Winter,4.2,Yes,Debit Card,Next Day Air,Yes,Yes,11,PayPal,Quarterly
115,70,Male,Coat,Outerwear,49,Massachusetts,Northeast,S,Blue,Summer,3.4,Yes,Venmo,Store Pickup,Yes,Yes,19,Cash,Weekly
116,53,Male,Skirt,Clothing,26,Wyoming,West,M,Gray,Spring,2.7,Yes,Cash,Standard,Yes,Yes,19,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,90,Virginia,South,S,Blue,Spring,4.7,Yes,PayPal,Free Shipping,Yes,Yes,17,Venmo,Annually
118,50,Male,Sandals,Footwear,75,South Dakota,Midwest,L,Yellow,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,6,Cash,Fortnightly
119,50,Male,Sweater,Clothing,42,Kentucky,Midwest,L,Orange,Fall,3.2,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,9,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,61,Wyoming,West,M,Orange,Fall,3.8,Yes,Debit Card,Express,Yes,Yes,15,Cash,Annually
121,64,Male,Hat,Accessories,50,West Virginia,South,L,Red,Summer,3.5,Yes,PayPal,Express,Yes,Yes,17,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,80,Virginia,South,M,Olive,Winter,4.4,Yes,Cash,Standard,Yes,Yes,14,Cash,Fortnightly
123,40,Male,Backpack,Accessories,29,Washington,West,L,Brown,Spring,2.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,8,Cash,Fortnightly
124,57,Male,Sweater,Clothing,26,Louisiana,South,L,Brown,Fall,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,18,Cash,Weekly
125,44,Male,Sweater,Clothing,39,Nevada,West,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,17,PayPal,Annually
126,49,Male,Shorts,Clothing,51,California,West,M,Indigo,Winter,3.5,Yes,Cash,Next Day Air,Yes,Yes,11,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,50,Mississippi,South,L,Pink,Spring,3.4,Yes,Bank Transfer,Store Pickup,Yes,Yes,7,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,25,Mississippi,South,M,Gray,Winter,2.7,Yes,Venmo,Next Day Air,Yes,Yes,18,Credit Card,Weekly
129,20,Male,Scarf,Accessories,59,California,West,M,Gold,Spring,3.7,Yes,Venmo,Standard,Yes,Yes,6,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,88,Pennsylvania,Northeast,XL,Olive,Summer,4.6,Yes,Cash,2-Day Shipping,Yes,Yes,13,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,60,Kentucky,Midwest,L,Violet,Fall,3.8,Yes,Credit Card,Next Day Air,Yes,Yes,8,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,92,Maine,Northeast,L,Indigo,Summer,4.7,Yes,PayPal,Standard,Yes,Yes,6,Credit Card,Weekly
133,30,Male,Backpack,Accessories,57,New Mexico,West,M,Orange,Fall,3.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,12,PayPal,Weekly
134,52,Male,Sweater,Clothing,23,Montana,West,M,Violet,Winter,2.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,13,Venmo,Annually
135,43,Male,Hat,Accessories,57,Texas,South,L,Gray,Fall,3.7,Yes,Credit Card,Store Pickup,Yes,Yes,19,Cash,Monthly
136,43,Male,Sandals,Footwear,42,Kansas,Midwest,M,Purple,Fall,3.2,Yes,PayPal,Express,Yes,Yes,16,PayPal,Quarterly
137,39,Male,Blouse,Clothing,44,South Carolina,South,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,17,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,45,Colorado,West,M,Turquoise,Spring,3.3,Yes,Cash,Free Shipping,Yes,Yes,9,PayPal,Weekly
139,68,Male,Skirt,Clothing,86,Georgia,South,M,Maroon,Winter,4.5,Yes,Cash,Store Pickup,Yes,Yes,6,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,85,Florida,South,M,White,Fall,4.5,Yes,Debit Card,Store Pickup,Yes,Yes,19,Venmo,Annually
141,63,Male,Shirt,Clothing,99,North Carolina,South,L,Yellow,Fall,5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,6,Credit Card,Weekly
142,56,Male,Gloves,Accessories,52,Virginia,South,M,Turquoise,Fall,3.5,Yes,PayPal,Free Shipping,Yes,Yes,9,PayPal,Weekly
143,37,Male,Jacket,Outerwear,70,Nebraska,Midwest,L,Violet,Fall,4,Yes,PayPal,Free Shipping,Yes,Yes,12,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,22,Missouri,Midwest,M,Beige,Fall,2.6,Yes,Bank Transfer,Store Pickup,Yes,Yes,10,PayPal,Quarterly
145,19,Male,Shoes,Footwear,72,New Jersey,Northeast,M,Silver,Fall,4.1,Yes,Credit Card,Express,Yes,Yes,9,Cash,Monthly
146,24,Male,Jewelry,Accessories,32,Missouri,Midwest,M,Teal,Fall,2.9,Yes,Venmo,Standard,Yes,Yes,19,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,34,Colorado,West,S,Black,Fall,3,Yes,Debit Card,Standard,Yes,Yes,6,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,80,Idaho,West,M,Purple,Summer,4.3,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,13,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,42,Wyoming,West,M,Gray,Fall,3.2,Yes,PayPal,Store Pickup,Yes,Yes,18,Debit Card,Annually
150,38,Male,Pants,Clothing,95,Delaware,Northeast,M,White,Summer,4.8,Yes,Venmo,Free Shipping,Yes,Yes,15,PayPal,Monthly
151,35,Male,Boots,Footwear,74,California,West,L,Cyan,Fall,4.2,Yes,Bank Transfer,Standard,Yes,Yes,19,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,74,North Dakota,Midwest,L,Turquoise,Fall,4.2,Yes,Debit Card,Next Day Air,Yes,Yes,9,Venmo,Annually
153,30,Male,Shirt,Clothing,42,South Carolina,South,S,Brown,Summer,3.2,Yes,PayPal,Express,Yes,Yes,17,Venmo,Annually
154,69,Male,Hoodie,Clothing,91,North Carolina,South,M,Maroon,Winter,4.7,Yes,Debit Card,Standard,Yes,Yes,11,Debit Card,Annually
155,41,Male,Dress,Clothing,88,Oklahoma,South,M,Charcoal,Fall,4.6,Yes,Debit Card,Next Day Air,Yes,Yes,20,Venmo,Quarterly
156,63,Male,Socks,Clothing,95,Maine,Northeast,S,Olive,Spring,4.8,Yes,Cash,Free Shipping,Yes,Yes,15,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,68,Missouri,Midwest,M,Lavender,Fall,4,Yes,Venmo,Standard,Yes,Yes,5,Debit Card,Annually
158,36,Male,Hat,Accessories,26,Vermont,Northeast,S,Yellow,Fall,2.7,Yes,Debit Card,Next Day Air,Yes,Yes,14,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,33,Connecticut,Northeast,XL,Teal,Fall,2.9,Yes,Bank Transfer,Standard,Yes,Yes,15,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,36,New Hampshire,Northeast,M,Charcoal,Fall,3.1,Yes,Debit Card,Store Pickup,Yes,Yes,5,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,53,Texas,South,M,Orange,Summer,3.5,Yes,Bank Transfer,Free Shipping,Yes,Yes,5,Venmo,Monthly
162,65,Male,Backpack,Accessories,41,North Dakota,Midwest,M,Olive,Fall,3.2,Yes,Venmo,Express,Yes,Yes,10,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,55,California,West,M,Turquoise,Summer,3.6,Yes,Credit Card,Store Pickup,Yes,Yes,15,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,36,Virginia,South,M,Purple,Summer,3.1,Yes,PayPal,Standard,Yes,Yes,13,Debit Card,Weekly
165,59,Male,Handbag,Accessories,21,Delaware,Northeast,S,Purple,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,Yes,13,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,76,Kentucky,Midwest,S,Yellow,Winter,4.2,Yes,Credit Card,Store Pickup,Yes,Yes,12,Cash,Monthly
167,46,Male,Sneakers,Footwear,59,Delaware,Northeast,XL,Indigo,Fall,3.7,Yes,Cash,Store Pickup,Yes,Yes,6,Cash,Monthly
168,33,Male,Gloves,Accessories,84,Arkansas,South,M,Green,Fall,4.5,Yes,Venmo,Express,Yes,Yes,5,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,31,Louisiana,South,M,Magenta,Summer,2.9,Yes,Bank Transfer,Express,Yes,Yes,16,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,76,Nevada,West,S,Gold,Summer,4.2,Yes,Credit Card,Standard,Yes,Yes,6,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,69,Wyoming,West,M,Maroon,Fall,4,Yes,Venmo,Store Pickup,Yes,Yes,5,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,68,Virginia,South,M,Blue,Summer,4,Yes,Debit Card,Store Pickup,Yes,Yes,7,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,41,Nebraska,Midwest,M,Violet,Summer,3.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,13,Credit Card,Bi-Weekly
